Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
cpu_heavy_fcfs,1,10,335,99.4%,0.0299,263.10,223.10,19.00
cpu_heavy_fcfs,1,100,3091,100.0%,0.0324,1932.78,1896.27,244.73
cpu_heavy_fcfs,1,500,14893,100.0%,0.0336,9691.89,9656.69,1330.57
cpu_heavy_fcfs,1,1000,30693,100.0%,0.0326,19947.43,19911.18,2726.47
cpu_heavy_fcfs,2,10,164,99.4%,0.0610,107.80,69.00,14.70
cpu_heavy_fcfs,2,100,1585,99.9%,0.0631,1017.88,980.18,137.36
cpu_heavy_fcfs,2,500,7658,100.0%,0.0653,5061.24,5024.38,678.90
cpu_heavy_fcfs,2,1000,14991,100.0%,0.0667,9764.43,9728.33,1351.23
cpu_heavy_fcfs,4,10,113,98.2%,0.0885,77.30,28.20,4.60
cpu_heavy_fcfs,4,100,739,99.9%,0.1353,488.20,449.95,61.21
cpu_heavy_fcfs,4,500,3889,100.0%,0.1286,2539.92,2499.83,352.50
cpu_heavy_fcfs,4,1000,7455,100.0%,0.1341,4789.99,4751.28,677.38
cpu_heavy_fcfs,8,10,77,97.4%,0.1299,42.70,0.30,0.30
cpu_heavy_fcfs,8,100,571,97.7%,0.1751,365.44,71.01,31.69
cpu_heavy_fcfs,8,500,2728,98.2%,0.1833,1750.39,414.27,164.71
cpu_heavy_fcfs,8,1000,5563,98.1%,0.1798,3648.76,899.08,323.87
cpu_heavy_fcfs,16,10,79,98.7%,0.1266,49.20,0.00,0.00
cpu_heavy_fcfs,16,100,533,99.4%,0.1876,350.68,19.03,13.86
cpu_heavy_fcfs,16,500,2697,98.1%,0.1854,1726.05,119.59,82.69
cpu_heavy_fcfs,16,1000,5630,97.8%,0.1776,3734.54,236.14,163.46
cpu_heavy_fcfs,24,10,91,96.7%,0.1099,59.30,0.00,0.00
cpu_heavy_fcfs,24,100,557,98.7%,0.1795,363.55,9.39,7.86
cpu_heavy_fcfs,24,500,2792,98.1%,0.1791,1841.56,71.31,55.63
cpu_heavy_fcfs,24,1000,5509,98.0%,0.1815,3605.27,139.22,111.52
cpu_heavy_fcfs,32,10,76,97.4%,0.1316,55.90,0.00,0.00
cpu_heavy_fcfs,32,100,555,99.5%,0.1802,365.80,6.19,5.42
cpu_heavy_fcfs,32,500,2716,98.3%,0.1841,1752.77,45.29,38.40
cpu_heavy_fcfs,32,1000,5643,98.1%,0.1772,3683.31,91.31,78.85
cpu_heavy_fcfs,48,10,80,98.8%,0.1250,51.30,0.00,0.00
cpu_heavy_fcfs,48,100,578,99.1%,0.1730,391.40,3.20,2.92
cpu_heavy_fcfs,48,500,2853,98.4%,0.1753,1915.30,28.87,25.78
cpu_heavy_fcfs,48,1000,5498,98.0%,0.1819,3611.39,58.60,52.62
cpu_heavy_roundrobin,1,10,323,99.7%,0.0310,251.80,213.90,11.10
cpu_heavy_roundrobin,1,100,3117,100.0%,0.0321,2059.22,2022.29,125.71
cpu_heavy_roundrobin,1,500,15394,100.0%,0.0325,10368.72,10332.36,679.04
cpu_heavy_roundrobin,1,1000,29773,100.0%,0.0336,19736.48,19701.27,1362.43
cpu_heavy_roundrobin,2,10,128,98.4%,0.0781,85.00,54.60,5.60
cpu_heavy_roundrobin,2,100,1610,99.9%,0.0621,1129.97,1090.72,64.26
cpu_heavy_roundrobin,2,500,7611,100.0%,0.0657,5132.28,5095.58,348.02
cpu_heavy_roundrobin,2,1000,15102,100.0%,0.0662,10062.08,10025.54,672.92
cpu_heavy_roundrobin,4,10,93,98.9%,0.1075,71.50,27.90,2.40
cpu_heavy_roundrobin,4,100,719,99.9%,0.1391,464.57,425.13,32.41
cpu_heavy_roundrobin,4,500,3746,99.9%,0.1335,2473.80,2431.98,166.07
cpu_heavy_roundrobin,4,1000,7556,100.0%,0.1323,4997.23,4955.63,336.92
cpu_heavy_roundrobin,8,10,87,97.7%,0.1149,57.00,1.30,0.50
cpu_heavy_roundrobin,8,100,586,99.1%,0.1706,391.92,86.91,14.50
cpu_heavy_roundrobin,8,500,2789,98.7%,0.1793,1844.53,525.62,83.19
cpu_heavy_roundrobin,8,1000,5458,99.0%,0.1832,3569.72,1089.30,169.01
cpu_heavy_roundrobin,16,10,60,96.7%,0.1667,38.60,0.00,0.00
cpu_heavy_roundrobin,16,100,545,99.8%,0.1835,355.81,24.63,6.99
cpu_heavy_roundrobin,16,500,2715,98.5%,0.1842,1744.48,147.22,40.30
cpu_heavy_roundrobin,16,1000,5416,98.8%,0.1846,3563.23,326.58,84.17
cpu_heavy_roundrobin,24,10,77,98.7%,0.1299,49.30,0.00,0.00
cpu_heavy_roundrobin,24,100,498,99.6%,0.2008,319.32,12.15,4.00
cpu_heavy_roundrobin,24,500,2785,98.6%,0.1795,1808.13,86.17,26.91
cpu_heavy_roundrobin,24,1000,5389,98.3%,0.1856,3443.28,183.24,55.34
cpu_heavy_roundrobin,32,10,65,95.4%,0.1538,34.70,0.00,0.00
cpu_heavy_roundrobin,32,100,576,98.4%,0.1736,379.27,6.71,2.88
cpu_heavy_roundrobin,32,500,2755,98.1%,0.1815,1755.08,61.48,19.51
cpu_heavy_roundrobin,32,1000,5413,98.3%,0.1847,3491.64,124.19,40.63
cpu_heavy_roundrobin,48,10,75,97.3%,0.1333,42.70,0.00,0.00
