Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
cpu_only_fcfs,1,10,575,100.0%,0.0174,310.10,252.60,252.60
cpu_only_fcfs,1,100,6008,100.0%,0.0166,2869.74,2809.66,2809.66
cpu_only_fcfs,1,500,31489,100.0%,0.0159,15462.59,15399.61,15399.61
cpu_only_fcfs,1,1000,61883,100.0%,0.0162,30609.47,30547.59,30547.59
cpu_only_fcfs,2,10,163,100.0%,0.0613,74.40,43.00,43.00
cpu_only_fcfs,2,100,3100,100.0%,0.0323,1609.55,1547.58,1547.58
cpu_only_fcfs,2,500,15820,100.0%,0.0316,7742.18,7679.08,7679.08
cpu_only_fcfs,2,1000,31528,100.0%,0.0317,15849.59,15786.55,15786.55
cpu_only_fcfs,4,10,186,100.0%,0.0538,99.20,41.20,41.20
cpu_only_fcfs,4,100,1538,100.0%,0.0650,747.22,687.72,687.72
cpu_only_fcfs,4,500,7545,100.0%,0.0663,3854.14,3794.02,3794.02
cpu_only_fcfs,4,1000,15723,100.0%,0.0636,7714.04,7651.45,7651.45
cpu_only_fcfs,8,10,165,100.0%,0.0606,66.80,4.00,4.00
cpu_only_fcfs,8,100,853,100.0%,0.1172,421.88,357.37,357.37
cpu_only_fcfs,8,500,3741,100.0%,0.1337,1889.10,1830.25,1830.25
cpu_only_fcfs,8,1000,7952,100.0%,0.1258,3959.38,3896.16,3896.16
cpu_only_fcfs,16,10,117,100.0%,0.0855,35.40,0.00,0.00
cpu_only_fcfs,16,100,416,100.0%,0.2404,223.81,161.82,161.82
cpu_only_fcfs,16,500,2092,100.0%,0.2390,1045.25,980.36,980.36
cpu_only_fcfs,16,1000,3933,100.0%,0.2543,1972.29,1910.33,1910.33
cpu_only_fcfs,24,10,113,100.0%,0.0885,77.60,0.00,0.00
cpu_only_fcfs,24,100,328,100.0%,0.3049,165.28,98.62,98.62
cpu_only_fcfs,24,500,1356,100.0%,0.3687,668.79,606.62,606.62
cpu_only_fcfs,24,1000,2763,100.0%,0.3619,1341.55,1277.46,1277.46
cpu_only_fcfs,32,10,90,100.0%,0.1111,49.60,0.00,0.00
cpu_only_fcfs,32,100,268,100.0%,0.3731,124.11,59.25,59.25
cpu_only_fcfs,32,500,1069,100.0%,0.4677,543.41,478.77,478.77
cpu_only_fcfs,32,1000,2039,100.0%,0.4904,966.68,904.91,904.91
cpu_only_fcfs,48,10,112,100.0%,0.0893,59.30,0.00,0.00
cpu_only_fcfs,48,100,207,100.0%,0.4831,81.37,22.33,22.33
cpu_only_fcfs,48,500,732,100.0%,0.6831,340.60,279.10,279.10
cpu_only_fcfs,48,1000,1363,100.0%,0.7337,651.33,589.50,589.50
cpu_only_roundrobin,1,10,420,100.0%,0.0238,269.00,227.00,14.90
cpu_only_roundrobin,1,100,6250,100.0%,0.0160,4079.62,4017.12,159.60
cpu_only_roundrobin,1,500,31187,100.0%,0.0160,20932.27,20869.89,781.95
cpu_only_roundrobin,1,1000,63271,100.0%,0.0158,42673.31,42610.03,1568.67
cpu_only_roundrobin,2,10,367,100.0%,0.0272,250.20,177.00,6.00
cpu_only_roundrobin,2,100,3105,100.0%,0.0322,2114.13,2052.10,78.01
cpu_only_roundrobin,2,500,15757,100.0%,0.0317,10586.14,10523.13,388.87
cpu_only_roundrobin,2,1000,32278,100.0%,0.0310,21718.69,21654.15,780.30
cpu_only_roundrobin,4,10,137,100.0%,0.0730,87.40,39.10,2.50
cpu_only_roundrobin,4,100,1471,100.0%,0.0680,940.88,882.73,36.35
cpu_only_roundrobin,4,500,7526,100.0%,0.0664,4840.70,4780.51,192.72
cpu_only_roundrobin,4,1000,15367,100.0%,0.0651,10253.90,10192.45,387.76
cpu_only_roundrobin,8,10,102,100.0%,0.0980,52.90,2.60,0.60
cpu_only_roundrobin,8,100,740,100.0%,0.1351,461.63,404.24,17.87
cpu_only_roundrobin,8,500,3924,100.0%,0.1274,2616.34,2553.66,95.09
cpu_only_roundrobin,8,1000,7763,100.0%,0.1288,5206.26,5144.20,193.16
cpu_only_roundrobin,16,10,121,100.0%,0.0826,51.20,0.00,0.00
cpu_only_roundrobin,16,100,381,100.0%,0.2625,230.84,173.56,8.30
