Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
io_heavy_fcfs,1,10,221,19.9%,0.0452,157.20,4.60,4.50
io_heavy_fcfs,1,100,3021,17.7%,0.0331,1888.01,59.35,49.50
io_heavy_fcfs,1,500,15588,18.1%,0.0321,10216.85,308.63,249.50
io_heavy_fcfs,1,1000,30404,18.2%,0.0329,19730.74,596.72,499.50
io_heavy_fcfs,2,10,231,18.6%,0.0433,141.40,2.20,2.00
io_heavy_fcfs,2,100,3292,16.5%,0.0304,2198.22,26.09,24.50
io_heavy_fcfs,2,500,16101,15.9%,0.0311,10595.32,136.74,124.50
io_heavy_fcfs,2,1000,30606,16.3%,0.0327,19785.97,273.73,249.50
io_heavy_fcfs,4,10,302,15.9%,0.0331,212.80,0.80,0.80
io_heavy_fcfs,4,100,2938,15.8%,0.0340,1887.17,12.22,12.00
io_heavy_fcfs,4,500,15532,15.8%,0.0322,10201.21,64.22,62.00
io_heavy_fcfs,4,1000,29830,15.5%,0.0335,19351.75,130.08,124.50
io_heavy_fcfs,8,10,308,14.6%,0.0325,195.10,0.20,0.20
io_heavy_fcfs,8,100,3265,15.2%,0.0306,2233.52,5.80,5.76
io_heavy_fcfs,8,500,15342,15.1%,0.0326,10128.63,31.16,30.75
io_heavy_fcfs,8,1000,29923,15.3%,0.0334,19239.53,63.52,62.00
io_heavy_fcfs,16,10,266,13.9%,0.0376,169.70,0.00,0.00
io_heavy_fcfs,16,100,2910,15.8%,0.0344,1891.24,2.64,2.64
io_heavy_fcfs,16,500,14612,14.9%,0.0342,9358.27,15.27,15.13
io_heavy_fcfs,16,1000,30022,15.0%,0.0333,19267.27,30.97,30.75
io_heavy_fcfs,24,10,228,16.2%,0.0439,164.60,0.00,0.00
io_heavy_fcfs,24,100,2984,15.1%,0.0335,1866.60,1.60,1.60
io_heavy_fcfs,24,500,15038,15.0%,0.0332,9796.52,10.01,9.92
io_heavy_fcfs,24,1000,30061,15.0%,0.0333,19468.30,20.47,20.34
io_heavy_fcfs,32,10,419,15.3%,0.0239,329.20,0.00,0.00
io_heavy_fcfs,32,100,2981,15.0%,0.0335,1926.25,1.08,1.08
io_heavy_fcfs,32,500,15296,15.0%,0.0327,9926.84,7.34,7.32
io_heavy_fcfs,32,1000,30867,15.1%,0.0324,20308.52,15.19,15.13
io_heavy_fcfs,48,10,276,13.8%,0.0362,180.40,0.00,0.00
io_heavy_fcfs,48,100,3148,14.3%,0.0318,2042.32,0.56,0.56
io_heavy_fcfs,48,500,14348,14.9%,0.0348,9201.81,4.75,4.72
io_heavy_fcfs,48,1000,29915,15.0%,0.0334,19388.43,9.95,9.92
io_heavy_roundrobin,1,10,323,18.6%,0.0310,230.50,5.80,4.50
io_heavy_roundrobin,1,100,2923,18.7%,0.0342,1888.07,58.38,49.50
io_heavy_roundrobin,1,500,14320,18.2%,0.0349,9120.33,294.71,249.50
io_heavy_roundrobin,1,1000,28831,18.3%,0.0347,18291.94,596.84,499.50
io_heavy_roundrobin,2,10,337,13.6%,0.0297,199.40,2.20,2.00
io_heavy_roundrobin,2,100,2987,16.3%,0.0335,1905.74,26.41,24.50
io_heavy_roundrobin,2,500,15742,16.3%,0.0318,10328.77,135.83,124.50
io_heavy_roundrobin,2,1000,30705,16.1%,0.0326,19903.97,271.56,249.50
