Time,New Queue,Ready Queue,CPU Core 0,Blocked Queue,IO,Exit Queue
0,B C D ,,A,,,
1,B C D ,,A,,,
2,C D ,B ,A,,,
3,D ,C B ,A,,,
4,D ,B ,C,,A,
5,D ,B ,C,,A,
6,D ,,B,C ,A,
7,,D ,B,C ,A,
8,,D A ,B,,C,
9,,D A C ,B,,,
10,,D A C ,B,,,
11,,D A C ,B,,,
12,,D A C ,B,,,
13,,D A C ,B,,,
14,,C A ,D,,B,
15,,A B ,C,,D,
16,,D B A ,C,,,
17,,A B ,D,,,C 
18,,B ,A,,D,C 
19,,D B ,A,,,C 
20,,D B ,A,,,C 
21,,D B ,A,,,C 
22,,B ,D,,A,C 
23,,,B,,A,C D 
24,,,B,,A,C D 
25,,,B,,A,C D 
26,,A ,B,,,C D 
27,,A ,B,,,C D 
28,,A ,B,,,C D 
29,,A ,B,,,C D 
30,,A ,B,,,C D 
31,,,A,,,C D B 
32,,,A,,,C D B 
33,,,A,,,C D B 
34,,,A,,,C D B 
