Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
balanced_fcfs,1,10,277,97.5%,0.0361,173.80,127.40,27.40
balanced_fcfs,1,100,3052,99.9%,0.0328,2017.01,1967.17,285.88
balanced_fcfs,1,500,15014,100.0%,0.0333,9696.16,9646.00,1312.24
balanced_fcfs,1,1000,30657,100.0%,0.0326,20242.86,20191.49,2772.93
balanced_fcfs,2,10,132,87.9%,0.0758,75.00,20.20,11.00
balanced_fcfs,2,100,1796,94.3%,0.0557,1237.36,763.34,133.65
balanced_fcfs,2,500,8573,94.3%,0.0583,5555.50,3589.08,702.96
balanced_fcfs,2,1000,16549,94.5%,0.0604,10753.05,6963.88,1377.85
balanced_fcfs,4,10,183,85.8%,0.0546,116.10,3.40,3.10
balanced_fcfs,4,100,1701,85.7%,0.0588,1109.74,108.09,67.74
balanced_fcfs,4,500,8298,87.7%,0.0603,5488.16,618.41,357.88
balanced_fcfs,4,1000,16465,86.6%,0.0607,10689.93,1143.38,673.26
balanced_fcfs,8,10,174,88.5%,0.0575,135.60,0.60,0.60
balanced_fcfs,8,100,1725,86.3%,0.0580,1148.10,37.14,30.66
balanced_fcfs,8,500,8183,85.8%,0.0611,5394.81,217.12,170.10
balanced_fcfs,8,1000,15613,85.5%,0.0640,10044.24,437.36,342.45
balanced_fcfs,16,10,227,90.3%,0.0441,165.70,0.00,0.00
balanced_fcfs,16,100,1522,87.1%,0.0657,936.28,16.16,15.03
balanced_fcfs,16,500,8529,85.4%,0.0586,5683.00,90.04,81.05
balanced_fcfs,16,1000,16580,85.6%,0.0603,10901.57,188.13,167.27
balanced_fcfs,24,10,141,85.8%,0.0709,86.20,0.00,0.00
balanced_fcfs,24,100,1518,85.2%,0.0659,910.78,7.01,6.55
balanced_fcfs,24,500,8434,86.6%,0.0593,5565.47,58.03,54.30
balanced_fcfs,24,1000,16337,86.3%,0.0612,10485.58,122.58,114.00
balanced_fcfs,32,10,210,87.1%,0.0476,144.50,0.00,0.00
balanced_fcfs,32,100,1603,85.4%,0.0624,1035.80,5.61,5.14
balanced_fcfs,32,500,8254,84.4%,0.0606,5434.26,40.49,38.20
balanced_fcfs,32,1000,16092,85.8%,0.0621,10421.49,84.35,79.42
balanced_fcfs,48,10,175,84.6%,0.0571,114.40,0.00,0.00
balanced_fcfs,48,100,1605,84.9%,0.0623,1082.31,2.64,2.60
balanced_fcfs,48,500,8180,85.3%,0.0611,5327.70,25.17,24.51
balanced_fcfs,48,1000,16878,85.8%,0.0592,11242.70,55.91,53.99
balanced_roundrobin,1,10,289,97.2%,0.0346,215.40,167.80,12.10
balanced_roundrobin,1,100,2946,99.5%,0.0339,1977.92,1919.61,138.18
balanced_roundrobin,1,500,15147,100.0%,0.0330,10010.72,9954.40,664.36
balanced_roundrobin,1,1000,29687,100.0%,0.0337,19443.15,19387.28,1354.49
balanced_roundrobin,2,10,225,92.9%,0.0444,152.90,41.30,4.90
balanced_roundrobin,2,100,1731,92.1%,0.0578,1175.76,469.49,66.04
balanced_roundrobin,2,500,8971,93.2%,0.0557,6089.28,3391.99,334.92
balanced_roundrobin,2,1000,17328,93.6%,0.0577,11389.60,6758.15,672.36
balanced_roundrobin,4,10,141,96.5%,0.0709,82.20,2.60,2.00
balanced_roundrobin,4,100,1783,85.4%,0.0561,1226.36,116.58,31.88
balanced_roundrobin,4,500,8322,87.4%,0.0601,5472.09,769.35,167.38
balanced_roundrobin,4,1000,16382,86.7%,0.0610,10452.02,1487.88,335.75
balanced_roundrobin,8,10,180,78.9%,0.0556,106.50,0.30,0.30
balanced_roundrobin,8,100,1672,88.6%,0.0598,1159.29,46.83,14.99
balanced_roundrobin,8,500,8428,85.1%,0.0593,5566.53,274.62,82.06
balanced_roundrobin,8,1000,16972,86.0%,0.0589,11125.09,546.30,168.14
balanced_roundrobin,16,10,203,85.2%,0.0493,150.90,0.00,0.00
balanced_roundrobin,16,100,1554,85.5%,0.0644,1014.92,18.92,6.95
balanced_roundrobin,16,500,8467,85.1%,0.0591,5610.48,107.79,40.64
balanced_roundrobin,16,1000,16175,85.2%,0.0618,10340.74,245.03,83.90
balanced_roundrobin,24,10,189,92.1%,0.0529,123.70,0.00,0.00
balanced_roundrobin,24,100,1600,85.2%,0.0625,979.87,10.76,4.29
balanced_roundrobin,24,500,8324,85.7%,0.0601,5538.23,71.42,26.70
