Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
io_heavy_fcfs,1,10,352,17.9%,0.0284,262.00,5.90,4.50
io_heavy_fcfs,1,100,3275,18.5%,0.0305,2248.93,58.33,49.50
io_heavy_fcfs,1,500,14858,18.3%,0.0337,9715.25,295.90,249.50
io_heavy_fcfs,1,1000,29618,18.5%,0.0338,19049.41,598.42,499.50
io_heavy_fcfs,2,10,296,17.6%,0.0338,218.50,2.00,2.00
io_heavy_fcfs,2,100,3073,16.4%,0.0325,1982.04,25.96,24.50
io_heavy_fcfs,2,500,14410,16.4%,0.0347,9205.81,135.59,124.50
io_heavy_fcfs,2,1000,29985,16.5%,0.0334,19692.73,271.65,249.50
io_heavy_fcfs,4,10,314,17.2%,0.0318,214.40,0.80,0.80
io_heavy_fcfs,4,100,3150,16.3%,0.0317,2023.64,12.53,12.00
io_heavy_fcfs,4,500,14924,15.9%,0.0335,9684.45,64.46,62.00
io_heavy_fcfs,4,1000,30586,15.7%,0.0327,20087.28,128.74,124.50
io_heavy_fcfs,8,10,328,14.6%,0.0305,235.70,0.20,0.20
io_heavy_fcfs,8,100,2940,14.9%,0.0340,1820.05,5.90,5.76
io_heavy_fcfs,8,500,15487,15.2%,0.0323,9976.35,31.19,30.75
io_heavy_fcfs,8,1000,31408,15.1%,0.0318,20772.97,63.38,62.00
io_heavy_fcfs,16,10,313,14.7%,0.0319,200.70,0.00,0.00
io_heavy_fcfs,16,100,3069,15.1%,0.0326,2004.43,2.64,2.64
io_heavy_fcfs,16,500,15520,15.1%,0.0322,10272.44,15.23,15.13
io_heavy_fcfs,16,1000,31158,15.1%,0.0321,20700.19,31.04,30.75
io_heavy_fcfs,24,10,275,16.0%,0.0364,180.00,0.00,0.00
io_heavy_fcfs,24,100,2925,15.4%,0.0342,1966.67,1.60,1.60
io_heavy_fcfs,24,500,15282,14.8%,0.0327,9847.46,9.94,9.92
io_heavy_fcfs,24,1000,30473,15.1%,0.0328,19795.47,20.47,20.34
io_heavy_fcfs,32,10,255,16.9%,0.0392,174.20,0.00,0.00
io_heavy_fcfs,32,100,3240,15.2%,0.0309,2196.17,1.08,1.08
io_heavy_fcfs,32,500,15142,15.1%,0.0330,9909.63,7.34,7.32
io_heavy_fcfs,32,1000,29949,15.0%,0.0334,19218.19,15.14,15.13
io_heavy_fcfs,48,10,189,18.0%,0.0529,103.60,0.00,0.00
io_heavy_fcfs,48,100,3115,14.6%,0.0321,2056.33,0.56,0.56
io_heavy_fcfs,48,500,14742,15.3%,0.0339,9719.53,4.73,4.72
io_heavy_fcfs,48,1000,30691,14.9%,0.0326,19780.34,9.94,9.92
io_heavy_roundrobin,1,10,345,17.7%,0.0290,229.90,4.50,4.50
io_heavy_roundrobin,1,100,2952,18.3%,0.0339,1890.57,60.72,49.50
io_heavy_roundrobin,1,500,15673,18.3%,0.0319,10477.70,301.43,249.50
io_heavy_roundrobin,1,1000,30548,18.1%,0.0327,20010.38,598.74,499.50
io_heavy_roundrobin,2,10,311,15.8%,0.0322,188.20,2.30,2.00
io_heavy_roundrobin,2,100,3074,17.0%,0.0325,1984.34,27.11,24.50
io_heavy_roundrobin,2,500,15277,16.5%,0.0327,9989.21,134.38,124.50
io_heavy_roundrobin,2,1000,30595,16.3%,0.0327,19887.64,268.36,249.50
io_heavy_roundrobin,4,10,366,14.2%,0.0273,287.60,0.80,0.80
io_heavy_roundrobin,4,100,2854,16.3%,0.0350,1881.62,12.20,12.00
io_heavy_roundrobin,4,500,15666,15.6%,0.0319,10443.93,64.33,62.00
io_heavy_roundrobin,4,1000,29673,15.8%,0.0337,19437.75,129.79,124.50
io_heavy_roundrobin,8,10,353,15.9%,0.0283,247.50,0.20,0.20
io_heavy_roundrobin,8,100,2901,15.0%,0.0345,1744.01,5.79,5.76
io_heavy_roundrobin,8,500,14862,15.2%,0.0336,9594.00,31.43,30.75
io_heavy_roundrobin,8,1000,29919,15.4%,0.0334,19580.58,63.02,62.00
io_heavy_roundrobin,16,10,384,14.1%,0.0260,276.80,0.00,0.00
io_heavy_roundrobin,16,100,2691,14.3%,0.0372,1677.40,2.67,2.64
io_heavy_roundrobin,16,500,14915,15.1%,0.0335,9749.74,15.28,15.13
io_heavy_roundrobin,16,1000,31215,15.0%,0.0320,20416.95,31.02,30.75
io_heavy_roundrobin,24,10,265,13.2%,0.0377,157.30,0.00,0.00
io_heavy_roundrobin,24,100,2817,15.7%,0.0355,1852.12,1.60,1.60
io_heavy_roundrobin,24,500,15226,15.2%,0.0328,10079.05,9.94,9.92
io_heavy_roundrobin,24,1000,29999,15.1%,0.0333,19286.20,20.46,20.34
io_heavy_roundrobin,32,10,377,13.8%,0.0265,264.10,0.00,0.00
io_heavy_roundrobin,32,100,2959,15.4%,0.0338,1850.60,1.08,1.08
