Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
1,100.0%,5.0000,0.00,0.00,0.00
2,100.0%,2.5000,0.00,0.00,0.00
3,66.7%,1.6667,0.00,0.00,0.00
4,75.0%,1.2500,0.00,0.00,0.00
5,80.0%,1.0000,0.00,0.00,0.00
6,83.3%,0.8333,0.00,0.00,0.00
7,85.7%,0.7143,0.00,0.00,0.00
8,87.5%,0.6250,0.00,0.00,0.00
9,88.9%,0.5556,0.00,0.00,0.00
10,90.0%,0.5000,0.00,0.00,0.00
11,90.9%,0.4545,0.00,0.00,0.00
12,91.7%,0.4167,0.00,0.00,0.00
13,92.3%,0.3846,0.00,0.00,0.00
14,92.9%,0.3571,0.00,0.00,0.00
15,93.3%,0.3333,0.00,0.00,0.00
16,93.8%,0.3125,0.00,0.00,0.00
17,94.1%,0.2941,0.00,0.00,0.00
18,94.4%,0.2778,0.00,0.00,0.00
19,94.7%,0.2632,0.00,0.00,0.00
20,95.0%,0.2500,0.00,0.00,0.00
21,95.2%,0.2381,0.00,0.00,0.00
22,95.5%,0.2273,0.00,0.00,0.00
23,95.7%,0.2174,0.00,0.00,0.00
24,95.8%,0.2083,0.00,0.00,0.00
25,96.0%,0.2000,0.00,0.00,0.00
26,96.2%,0.1923,0.00,0.00,0.00
27,96.3%,0.1852,0.00,0.00,0.00
28,96.4%,0.1786,0.00,0.00,0.00
29,96.6%,0.1724,0.00,0.00,0.00
30,96.7%,0.1667,0.00,0.00,0.00
31,96.8%,0.1613,0.00,0.00,0.00
32,96.9%,0.1562,0.00,0.00,0.00
33,97.0%,0.1515,0.00,0.00,0.00
34,97.1%,0.1471,0.00,0.00,0.00
35,97.1%,0.1429,0.00,0.00,0.00
36,97.2%,0.1389,0.00,0.00,0.00
37,97.3%,0.1351,0.00,0.00,0.00
38,97.4%,0.1316,0.00,0.00,0.00
39,97.4%,0.1282,0.00,0.00,0.00
40,97.5%,0.1250,0.00,0.00,0.00
41,97.6%,0.1220,0.00,0.00,0.00
42,97.6%,0.1190,0.00,0.00,0.00
43,97.7%,0.1163,0.00,0.00,0.00
44,97.7%,0.1136,0.00,0.00,0.00
45,97.8%,0.1111,0.00,0.00,0.00
46,97.8%,0.1087,0.00,0.00,0.00
47,97.9%,0.1064,0.00,0.00,0.00
48,97.9%,0.1042,0.00,0.00,0.00
49,98.0%,0.1020,0.00,0.00,0.00
50,98.0%,0.1000,0.00,0.00,0.00
51,96.1%,0.0980,0.00,0.00,0.00
52,94.2%,0.0962,0.00,0.00,0.00
53,92.5%,0.0943,0.00,0.00,0.00
54,90.7%,0.0926,0.00,0.00,0.00
55,89.1%,0.0909,0.00,0.00,0.00
56,87.5%,0.0893,0.00,0.00,0.00
57,86.0%,0.0877,0.00,0.00,0.00
58,84.5%,0.0862,0.00,0.00,0.00
59,83.1%,0.0847,0.00,0.00,0.00
60,83.3%,0.0833,0.00,0.00,0.00
61,83.6%,0.0820,0.00,0.00,0.00
62,82.3%,0.0806,0.00,0.00,0.00
63,81.0%,0.0794,0.00,0.00,0.00
64,79.7%,0.0781,0.00,0.00,0.00
65,78.5%,0.0769,0.00,0.00,0.00
66,77.3%,0.0758,0.00,0.00,0.00
67,76.1%,0.0746,0.00,0.00,0.00
68,75.0%,0.0735,0.00,0.00,0.00
69,75.4%,0.0725,0.00,0.00,0.00
70,74.3%,0.0714,0.00,0.00,0.00
71,73.2%,0.0704,0.00,0.00,0.00
72,72.2%,0.0694,0.00,0.00,0.00
73,71.2%,0.0685,0.00,0.00,0.00
74,70.3%,0.0676,0.00,0.00,0.00
75,69.3%,0.0667,0.00,0.00,0.00
76,68.4%,0.0658,0.00,0.00,0.00
77,67.5%,0.0649,0.00,0.00,0.00
78,67.9%,0.0641,0.00,0.00,0.00
79,67.1%,0.0633,0.00,0.00,0.00
80,66.2%,0.0625,0.00,0.00,0.00
81,65.4%,0.0617,0.00,0.00,0.00
82,64.6%,0.0610,0.00,0.00,0.00
83,63.9%,0.0602,0.00,0.00,0.00
84,63.1%,0.0595,0.00,0.00,0.00
85,62.4%,0.0588,0.00,0.00,0.00
86,61.6%,0.0581,0.00,0.00,0.00
87,60.9%,0.0575,0.00,0.00,0.00
88,61.4%,0.0568,0.00,0.00,0.00
89,60.7%,0.0562,0.00,0.00,0.00
90,60.0%,0.0556,0.00,0.00,0.00
91,59.3%,0.0549,0.00,0.00,0.00
92,58.7%,0.0543,0.00,0.00,0.00
93,58.1%,0.0538,0.00,0.00,0.00
94,57.4%,0.0532,0.00,0.00,0.00
95,56.8%,0.0526,0.00,0.00,0.00
96,56.2%,0.0521,0.00,0.00,0.00
97,55.7%,0.0515,0.00,0.00,0.00
98,56.1%,0.0510,0.00,0.00,0.00
99,56.6%,0.0505,0.00,0.00,0.00
100,57.0%,0.0500,0.00,0.00,0.00
