Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
balanced_fcfs,1,10,270,99.6%,0.0370,156.30,107.60,19.90
balanced_fcfs,1,100,2845,99.9%,0.0351,1857.59,1809.89,266.55
balanced_fcfs,1,500,14694,100.0%,0.0340,9273.76,9224.51,1318.93
balanced_fcfs,1,1000,30348,100.0%,0.0330,19905.02,19854.65,2823.40
balanced_fcfs,2,10,190,93.7%,0.0526,129.00,30.80,8.50
balanced_fcfs,2,100,1793,93.2%,0.0558,1235.50,650.08,139.79
balanced_fcfs,2,500,8345,93.9%,0.0599,5393.25,3182.68,635.57
balanced_fcfs,2,1000,17239,93.9%,0.0580,11434.81,6582.50,1384.59
balanced_fcfs,4,10,218,84.9%,0.0459,155.20,7.70,4.70
balanced_fcfs,4,100,1575,88.8%,0.0635,1048.10,118.89,68.64
balanced_fcfs,4,500,8118,86.5%,0.0616,5251.79,605.41,349.67
balanced_fcfs,4,1000,16889,86.5%,0.0592,11151.78,1093.44,665.73
balanced_fcfs,8,10,176,84.1%,0.0568,114.20,0.80,0.60
balanced_fcfs,8,100,1729,85.1%,0.0578,1191.62,40.03,30.98
balanced_fcfs,8,500,8175,85.4%,0.0612,5286.20,204.33,163.88
balanced_fcfs,8,1000,16174,85.8%,0.0618,10415.26,424.48,342.91
balanced_fcfs,16,10,209,84.7%,0.0478,155.10,0.00,0.00
balanced_fcfs,16,100,1638,85.4%,0.0611,1040.02,14.61,12.81
balanced_fcfs,16,500,8358,85.5%,0.0598,5523.82,93.54,83.47
balanced_fcfs,16,1000,16833,85.7%,0.0594,10956.43,181.81,161.48
balanced_fcfs,24,10,162,87.0%,0.0617,114.10,0.00,0.00
balanced_fcfs,24,100,1674,86.6%,0.0597,1113.08,9.69,9.02
balanced_fcfs,24,500,8402,85.3%,0.0595,5518.53,56.27,52.71
balanced_fcfs,24,1000,16382,85.4%,0.0610,10554.37,128.24,118.26
balanced_fcfs,32,10,187,86.1%,0.0535,115.10,0.00,0.00
