Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
fcfs,1,4,102,71.6%,0.0392,48.00,17.25,5.75
fcfs,2,4,89,85.4%,0.0449,57.50,7.50,2.25
fcfs,4,4,87,94.3%,0.0460,73.75,0.00,0.00
roundrobin,1,4,123,82.9%,0.0325,65.00,23.25,4.50
roundrobin,2,4,104,85.6%,0.0385,71.25,9.00,1.25
roundrobin,4,4,84,78.6%,0.0476,50.25,0.00,0.00
spf,1,4,109,90.8%,0.0367,71.50,29.00,12.75
spf,2,4,97,88.7%,0.0412,71.75,7.00,2.50
spf,4,4,91,93.4%,0.0440,70.25,0.00,0.00
srtf,1,4,136,83.1%,0.0294,84.00,39.00,9.50
srtf,2,4,87,88.5%,0.0460,75.25,5.75,2.25
srtf,4,4,106,87.7%,0.0377,89.50,0.00,0.00
