Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
balanced_fcfs,1,10,356,99.7%,0.0281,260.10,196.70,21.10
balanced_fcfs,1,100,3130,99.9%,0.0319,2061.30,2009.36,282.95
balanced_fcfs,1,500,14992,100.0%,0.0334,9786.30,9735.42,1391.79
balanced_fcfs,1,1000,30208,100.0%,0.0331,19790.48,19740.36,2740.75
balanced_fcfs,2,10,201,97.0%,0.0498,127.50,63.80,11.50
balanced_fcfs,2,100,1572,96.5%,0.0636,1002.64,737.26,131.87
balanced_fcfs,2,500,8560,95.0%,0.0584,5668.56,3841.29,704.89
balanced_fcfs,2,1000,16432,95.6%,0.0609,10684.79,7600.17,1372.32
balanced_fcfs,4,10,176,79.0%,0.0568,108.00,5.40,4.50
balanced_fcfs,4,100,1693,89.0%,0.0591,1151.08,117.23,68.92
balanced_fcfs,4,500,8026,87.4%,0.0623,5090.34,554.31,342.94
balanced_fcfs,4,1000,16641,86.6%,0.0601,10841.43,1226.01,714.10
balanced_fcfs,8,10,186,71.0%,0.0538,133.70,1.10,0.80
balanced_fcfs,8,100,1638,85.9%,0.0611,1063.59,40.66,32.83
balanced_fcfs,8,500,8359,87.0%,0.0598,5542.98,212.11,167.08
balanced_fcfs,8,1000,17187,86.2%,0.0582,11423.68,438.95,344.15
balanced_fcfs,16,10,147,84.4%,0.0680,100.50,0.00,0.00
balanced_fcfs,16,100,1790,88.2%,0.0559,1204.97,16.12,14.55
balanced_fcfs,16,500,8296,86.2%,0.0603,5386.88,91.29,82.79
balanced_fcfs,16,1000,16575,85.0%,0.0603,10666.02,184.02,163.88
balanced_fcfs,24,10,170,81.2%,0.0588,103.90,0.00,0.00
balanced_fcfs,24,100,1469,85.8%,0.0681,945.29,8.53,8.17
balanced_fcfs,24,500,8469,84.9%,0.0590,5571.54,59.53,54.97
balanced_fcfs,24,1000,16142,85.4%,0.0620,10386.95,118.91,110.17
balanced_fcfs,32,10,159,78.0%,0.0629,93.40,0.00,0.00
balanced_fcfs,32,100,1629,83.2%,0.0614,1040.57,4.96,4.78
balanced_fcfs,32,500,8489,85.8%,0.0589,5645.29,40.46,38.70
balanced_fcfs,32,1000,16616,85.5%,0.0602,10771.68,87.56,83.17
balanced_fcfs,48,10,183,88.0%,0.0546,119.50,0.00,0.00
balanced_fcfs,48,100,1623,85.3%,0.0616,1066.08,2.41,2.39
balanced_fcfs,48,500,8213,86.5%,0.0609,5405.09,25.61,24.59
balanced_fcfs,48,1000,17300,85.2%,0.0578,11499.51,55.81,54.04
balanced_roundrobin,1,10,404,96.8%,0.0248,297.80,231.90,13.50
balanced_roundrobin,1,100,3177,99.7%,0.0315,2074.98,2016.33,133.26
balanced_roundrobin,1,500,15515,100.0%,0.0322,10484.40,10427.17,683.62
balanced_roundrobin,1,1000,30550,100.0%,0.0327,20313.03,20255.05,1348.03
balanced_roundrobin,2,10,211,93.4%,0.0474,148.70,33.80,6.00
