Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
cpu_only_fcfs,1,10,357,18.8%,0.0280,267.90,4.50,4.50
cpu_only_fcfs,1,100,2633,19.1%,0.0380,1620.40,57.79,49.50
cpu_only_fcfs,1,500,15530,18.2%,0.0322,10313.35,297.38,249.50
cpu_only_fcfs,1,1000,30560,18.2%,0.0327,19924.54,596.79,499.50
cpu_only_fcfs,2,10,251,17.5%,0.0398,151.30,2.00,2.00
cpu_only_fcfs,2,100,2999,16.2%,0.0333,1909.73,25.85,24.50
cpu_only_fcfs,2,500,15211,16.6%,0.0329,10024.26,134.74,124.50
cpu_only_fcfs,2,1000,29307,16.4%,0.0341,18768.11,272.86,249.50
cpu_only_fcfs,4,10,229,15.3%,0.0437,127.60,0.80,0.80
cpu_only_fcfs,4,100,2741,16.3%,0.0365,1767.13,12.78,12.00
cpu_only_fcfs,4,500,14565,15.8%,0.0343,9271.36,64.26,62.00
cpu_only_fcfs,4,1000,29686,15.7%,0.0337,19024.84,130.01,124.50
cpu_only_fcfs,8,10,316,13.6%,0.0316,176.00,0.20,0.20
cpu_only_fcfs,8,100,2979,15.1%,0.0336,1926.72,5.81,5.76
cpu_only_fcfs,8,500,14612,15.4%,0.0342,9360.45,31.66,30.75
cpu_only_fcfs,8,1000,31182,15.2%,0.0321,20615.06,63.09,62.00
cpu_only_fcfs,16,10,281,14.2%,0.0356,173.80,0.00,0.00
cpu_only_fcfs,16,100,3074,15.2%,0.0325,2085.98,2.64,2.64
cpu_only_fcfs,16,500,15005,15.2%,0.0333,9758.99,15.26,15.13
cpu_only_fcfs,16,1000,29984,15.0%,0.0334,19455.52,30.92,30.75
cpu_only_fcfs,24,10,294,14.3%,0.0340,211.30,0.00,0.00
cpu_only_fcfs,24,100,2908,14.8%,0.0344,1894.43,1.60,1.60
cpu_only_fcfs,24,500,15198,15.0%,0.0329,9944.51,9.96,9.92
cpu_only_fcfs,24,1000,29935,15.0%,0.0334,19373.44,20.42,20.34
cpu_only_fcfs,32,10,301,14.6%,0.0332,199.50,0.00,0.00
cpu_only_fcfs,32,100,2943,15.0%,0.0340,1955.87,1.08,1.08
cpu_only_fcfs,32,500,15925,15.1%,0.0314,10697.44,7.34,7.32
cpu_only_fcfs,32,1000,30599,14.9%,0.0327,19945.70,15.20,15.13
cpu_only_fcfs,48,10,365,14.2%,0.0274,265.90,0.00,0.00
cpu_only_fcfs,48,100,3032,15.2%,0.0330,1973.51,0.56,0.56
cpu_only_fcfs,48,500,15606,14.8%,0.0320,10259.86,4.75,4.72
cpu_only_fcfs,48,1000,29873,14.7%,0.0335,19210.78,9.93,9.92
cpu_only_roundrobin,1,10,297,18.9%,0.0337,218.80,4.50,4.50
cpu_only_roundrobin,1,100,3159,17.9%,0.0317,2073.05,60.27,49.50
cpu_only_roundrobin,1,500,15491,18.2%,0.0323,10239.33,303.67,249.50
cpu_only_roundrobin,1,1000,30459,18.2%,0.0328,19871.98,592.87,499.50
cpu_only_roundrobin,2,10,327,14.4%,0.0306,213.10,2.00,2.00
cpu_only_roundrobin,2,100,3166,15.9%,0.0316,2097.65,27.09,24.50
cpu_only_roundrobin,2,500,14936,16.8%,0.0335,9735.52,133.93,124.50
cpu_only_roundrobin,2,1000,30082,16.4%,0.0332,19322.39,269.17,249.50
cpu_only_roundrobin,4,10,318,17.6%,0.0314,210.20,0.80,0.80
cpu_only_roundrobin,4,100,3007,15.7%,0.0333,1944.17,12.21,12.00
cpu_only_roundrobin,4,500,15417,15.9%,0.0324,10327.94,64.17,62.00
cpu_only_roundrobin,4,1000,31179,15.7%,0.0321,20579.36,129.36,124.50
cpu_only_roundrobin,8,10,258,14.0%,0.0388,174.10,0.20,0.20
cpu_only_roundrobin,8,100,2998,15.5%,0.0334,1994.62,5.86,5.76
cpu_only_roundrobin,8,500,15505,15.5%,0.0322,10296.26,31.39,30.75
cpu_only_roundrobin,8,1000,30441,15.3%,0.0329,19940.66,63.18,62.00
cpu_only_roundrobin,16,10,223,17.5%,0.0448,139.50,0.00,0.00
cpu_only_roundrobin,16,100,2913,15.0%,0.0343,1847.50,2.64,2.64
cpu_only_roundrobin,16,500,15530,15.1%,0.0322,10001.56,15.29,15.13
cpu_only_roundrobin,16,1000,29134,15.0%,0.0343,18722.77,31.04,30.75
