Time,New Queue,Ready Queue,CPU Core 0,Blocked Queue,IO,Exit Queue
0,B C D ,,A,,,
1,B C D ,,A,,,
2,C D ,B ,A,,,
3,D ,B C ,A,,,
4,D ,C ,B,,A,
5,D ,B ,C,,A,
6,D ,B ,C,,A,
7,,D ,B,C ,A,
8,,B D ,A,,C,
9,,A D C ,B,,,
10,,B D C ,A,,,
11,,A D C ,B,,,
12,,B D C ,A,,,
13,,A D C ,B,,,
14,,B D C ,A,,,
15,,C D ,B,,A,
16,,B D ,C,,A,
17,,B D ,C,,A,
18,,D ,B,,A,C 
19,,B D ,A,,,C 
20,,A D ,B,,,C 
21,,D ,A,,B,C 
22,,A D ,B,,,C 
23,,B D ,A,,,C 
24,,A D ,B,,,C 
25,,B D ,A,,,C 
26,,D ,B,,,C A 
27,,B ,D,,,C A 
28,,,B,,D,C A 
29,,D ,B,,,C A 
30,,D ,B,,,C A 
31,,D ,B,,,C A 
32,,D ,B,,,C A 
33,,,D,,,C A B 
34,,,,,D,C A B 
35,,,D,,,C A B 
