Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
lecture_fcfs,1,4,35,100.0%,0.1143,28.25,16.50,4.50
lecture_fcfs,2,4,21,100.0%,0.1905,15.25,2.00,0.25
lecture_fcfs,4,4,20,100.0%,0.2000,12.75,0.00,0.00
lecture_roundrobin,1,4,35,100.0%,0.1143,24.50,12.75,2.25
lecture_roundrobin,2,4,23,100.0%,0.1739,13.25,1.00,0.00
lecture_roundrobin,4,4,20,100.0%,0.2000,12.75,0.00,0.00
lecture_spf,1,4,35,100.0%,0.1143,23.50,11.25,3.00
lecture_spf,2,4,21,100.0%,0.1905,13.75,1.25,0.25
lecture_spf,4,4,20,100.0%,0.2000,12.75,0.00,0.00
lecture_srtf,1,4,35,100.0%,0.1143,18.75,6.25,1.25
lecture_srtf,2,4,22,100.0%,0.1818,14.00,1.25,0.00
lecture_srtf,4,4,20,100.0%,0.2000,12.75,0.00,0.00
