Time,New Queue,Ready Queue,CPU Core 0,Blocked Queue,IO,Exit Queue
0,B C D ,,A,,,
1,B C D ,,A,,,
2,C D ,B ,A,,,
3,D ,B C ,A,,,
4,D ,B A ,C,,,
5,D ,B A ,C,,,
6,D ,B ,A,,C,
7,,B D ,C,,A,
8,,B D ,C,,A,
9,,B ,D,,A,C 
10,,,B,D ,A,C 
11,,A ,B,,D,C 
12,,A B ,D,,,C 
13,,B ,A,,D,C 
14,,B D ,A,,,C 
15,,B A ,D,,,C 
16,,B ,A,,,C D 
17,,B ,A,,,C D 
18,,,B,,A,C D 
19,,,B,,A,C D 
20,,,B,,A,C D 
21,,,B,,A,C D 
22,,A ,B,,,C D 
23,,B ,A,,,C D 
24,,B ,A,,,C D 
25,,B ,A,,,C D 
26,,B ,A,,,C D 
27,,,B,,,C D A 
28,,,,,B,C D A 
29,,,B,,,C D A 
30,,,B,,,C D A 
31,,,B,,,C D A 
32,,,B,,,C D A 
33,,,B,,,C D A 
34,,,B,,,C D A 
35,,,B,,,C D A 
36,,,B,,,C D A 
