Time,New Queue,Ready Queue,CPU Core 0,Blocked Queue,IO,Exit Queue
0,B C D ,,A,,,
1,B C D ,,A,,,
2,C D ,B ,A,,,
3,D ,C A ,B,,,
4,D ,C A ,B,,,
5,D ,C A ,B,,,
6,D ,A B ,C,,,
7,,A B D ,C,,,
8,,B D ,A,,C,
9,,D C ,B,,A,
10,,D C ,B,,A,
11,,D C ,B,,A,
12,,C B ,D,,A,
13,,B A ,C,,D,
14,,B A D ,C,,,
15,,A D ,B,,,C 
16,,D ,A,,B,C 
17,,D B ,A,,,C 
18,,B A ,D,,,C 
19,,A ,B,,D,C 
20,,A D ,B,,,C 
21,,D B ,A,,,C 
22,,B ,D,,A,C 
23,,,B,,A,C D 
24,,,B,,A,C D 
25,,,B,,A,C D 
26,,A ,B,,,C D 
27,,B ,A,,,C D 
28,,B ,A,,,C D 
29,,B ,A,,,C D 
30,,A ,B,,,C D 
31,,,A,,,C D B 
