Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
fcfs,1,1,35,100.0%,0.1143,28.25,16.50,4.50
fcfs,2,1,21,100.0%,0.1905,15.25,2.00,0.25
fcfs,4,1,20,100.0%,0.2000,12.75,0.00,0.00
roundrobin,1,1,35,100.0%,0.1143,24.50,12.75,2.25
roundrobin,2,1,23,100.0%,0.1739,13.25,1.00,0.00
roundrobin,4,1,20,100.0%,0.2000,12.75,0.00,0.00
spf,1,1,35,100.0%,0.1143,23.50,11.25,3.00
spf,2,1,21,100.0%,0.1905,13.75,1.25,0.25
spf,4,1,20,100.0%,0.2000,12.75,0.00,0.00
srtf,1,1,35,100.0%,0.1143,18.75,6.25,1.25
srtf,2,1,22,100.0%,0.1818,14.00,1.25,0.00
srtf,4,1,20,100.0%,0.2000,12.75,0.00,0.00
