Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
cpu_heavy_fcfs,1,10,214,99.1%,0.0467,108.60,83.40,27.50
cpu_heavy_fcfs,1,100,2842,100.0%,0.0352,1813.77,1780.18,267.75
cpu_heavy_fcfs,1,500,14847,100.0%,0.0337,9506.59,9471.47,1369.95
cpu_heavy_fcfs,1,1000,30918,100.0%,0.0323,20343.50,20306.98,2706.24
cpu_heavy_fcfs,2,10,137,99.3%,0.0730,67.40,35.80,11.90
cpu_heavy_fcfs,2,100,1510,99.9%,0.0662,1005.40,969.18,133.73
cpu_heavy_fcfs,2,500,7670,100.0%,0.0652,5045.99,5009.09,699.10
cpu_heavy_fcfs,2,1000,14880,100.0%,0.0672,9704.31,9668.52,1341.49
cpu_heavy_fcfs,4,10,76,98.7%,0.1316,52.40,18.80,2.20
cpu_heavy_fcfs,4,100,758,99.9%,0.1319,485.82,446.34,63.48
cpu_heavy_fcfs,4,500,3805,100.0%,0.1314,2491.18,2452.10,347.07
cpu_heavy_fcfs,4,1000,7794,100.0%,0.1283,5089.20,5049.05,686.27
cpu_heavy_fcfs,8,10,84,96.4%,0.1190,48.60,0.40,0.30
cpu_heavy_fcfs,8,100,565,99.8%,0.1770,385.19,81.36,28.88
cpu_heavy_fcfs,8,500,2773,97.8%,0.1803,1769.11,414.09,166.71
cpu_heavy_fcfs,8,1000,5413,98.2%,0.1847,3478.50,868.14,339.16
cpu_heavy_fcfs,16,10,77,97.4%,0.1299,40.40,0.00,0.00
cpu_heavy_fcfs,16,100,575,99.1%,0.1739,381.23,18.27,12.99
cpu_heavy_fcfs,16,500,2770,98.6%,0.1805,1838.74,124.82,85.48
cpu_heavy_fcfs,16,1000,5441,98.1%,0.1838,3507.95,246.74,170.77
cpu_heavy_fcfs,24,10,68,95.6%,0.1471,39.40,0.00,0.00
cpu_heavy_fcfs,24,100,571,99.1%,0.1751,374.74,10.15,8.42
cpu_heavy_fcfs,24,500,2712,98.3%,0.1844,1790.61,70.76,55.69
cpu_heavy_fcfs,24,1000,5406,98.2%,0.1850,3510.14,140.52,110.74
cpu_heavy_fcfs,32,10,60,95.0%,0.1667,35.40,0.00,0.00
cpu_heavy_fcfs,32,100,584,99.0%,0.1712,398.51,6.07,5.15
cpu_heavy_fcfs,32,500,2759,98.2%,0.1812,1798.62,46.74,39.62
cpu_heavy_fcfs,32,1000,5486,98.2%,0.1823,3570.74,96.25,82.03
cpu_heavy_fcfs,48,10,66,97.0%,0.1515,43.60,0.00,0.00
cpu_heavy_fcfs,48,100,614,99.7%,0.1629,418.42,2.65,2.47
cpu_heavy_fcfs,48,500,2777,98.0%,0.1801,1795.12,27.93,25.02
cpu_heavy_fcfs,48,1000,5512,98.0%,0.1814,3546.14,62.54,56.36
cpu_heavy_roundrobin,1,10,300,99.7%,0.0333,213.40,177.70,12.50
cpu_heavy_roundrobin,1,100,2994,99.9%,0.0334,1949.80,1914.54,134.69
cpu_heavy_roundrobin,1,500,15003,100.0%,0.0333,9808.29,9772.91,683.65
cpu_heavy_roundrobin,1,1000,30198,100.0%,0.0331,19862.39,19826.72,1364.48
cpu_heavy_roundrobin,2,10,171,98.8%,0.0585,127.00,87.00,5.50
cpu_heavy_roundrobin,2,100,1563,99.9%,0.0640,1025.12,987.50,64.80
cpu_heavy_roundrobin,2,500,7853,100.0%,0.0637,5357.43,5319.43,333.47
cpu_heavy_roundrobin,2,1000,15235,100.0%,0.0656,10202.24,10165.28,669.13
cpu_heavy_roundrobin,4,10,77,97.4%,0.1299,43.40,11.10,2.20
cpu_heavy_roundrobin,4,100,753,99.6%,0.1328,493.88,453.05,32.93
cpu_heavy_roundrobin,4,500,3811,100.0%,0.1312,2549.21,2507.83,168.06
cpu_heavy_roundrobin,4,1000,7676,100.0%,0.1303,5143.04,5099.57,336.75
cpu_heavy_roundrobin,8,10,76,97.4%,0.1316,45.50,0.30,0.20
cpu_heavy_roundrobin,8,100,586,99.5%,0.1706,392.18,99.93,15.14
cpu_heavy_roundrobin,8,500,2814,98.8%,0.1777,1826.88,531.78,82.65
cpu_heavy_roundrobin,8,1000,5664,98.3%,0.1766,3731.41,1081.65,168.22
cpu_heavy_roundrobin,16,10,69,97.1%,0.1449,43.20,0.00,0.00
cpu_heavy_roundrobin,16,100,542,99.6%,0.1845,353.50,24.88,7.08
cpu_heavy_roundrobin,16,500,2813,98.3%,0.1777,1852.67,147.86,41.11
cpu_heavy_roundrobin,16,1000,5461,98.4%,0.1831,3537.28,300.50,83.60
cpu_heavy_roundrobin,24,10,74,98.6%,0.1351,49.60,0.00,0.00
cpu_heavy_roundrobin,24,100,566,98.9%,0.1767,377.15,12.04,4.22
cpu_heavy_roundrobin,24,500,2903,98.6%,0.1722,1967.65,94.35,27.01
cpu_heavy_roundrobin,24,1000,5372,98.5%,0.1862,3407.72,179.93,54.65
cpu_heavy_roundrobin,32,10,81,96.3%,0.1235,46.90,0.00,0.00
cpu_heavy_roundrobin,32,100,508,97.8%,0.1969,311.36,6.75,2.86
cpu_heavy_roundrobin,32,500,2775,98.2%,0.1802,1787.89,58.83,19.57
cpu_heavy_roundrobin,32,1000,5466,98.1%,0.1829,3520.70,129.06,41.28
cpu_heavy_roundrobin,48,10,65,98.5%,0.1538,33.70,0.00,0.00
cpu_heavy_roundrobin,48,100,475,98.9%,0.2105,292.67,2.63,1.47
cpu_heavy_roundrobin,48,500,2789,98.4%,0.1793,1837.94,36.37,12.69
cpu_heavy_roundrobin,48,1000,5581,98.1%,0.1792,3666.66,79.94,27.02
cpu_heavy_spf,1,10,338,99.7%,0.0296,236.60,196.40,44.00
cpu_heavy_spf,1,100,3320,100.0%,0.0301,1912.75,1873.69,631.60
cpu_heavy_spf,1,500,14498,100.0%,0.0345,7483.43,7449.11,2469.83
cpu_heavy_spf,1,1000,30745,100.0%,0.0325,16258.05,16221.78,5420.56
cpu_heavy_spf,2,10,229,99.1%,0.0437,148.80,95.40,24.80
cpu_heavy_spf,2,100,1626,99.8%,0.0615,898.48,858.57,247.28
cpu_heavy_spf,2,500,7204,100.0%,0.0694,3815.50,3773.42,1260.42
cpu_heavy_spf,2,1000,14685,100.0%,0.0681,7741.07,7689.71,2602.55
cpu_heavy_spf,4,10,104,96.2%,0.0962,57.00,17.70,5.70
cpu_heavy_spf,4,100,748,99.3%,0.1337,376.28,314.19,96.38
cpu_heavy_spf,4,500,3665,99.9%,0.1364,1955.46,1823.21,639.46
cpu_heavy_spf,4,1000,7612,100.0%,0.1314,4090.40,3848.44,1298.51
cpu_heavy_spf,8,10,75,98.7%,0.1333,51.70,0.40,0.40
cpu_heavy_spf,8,100,579,99.7%,0.1727,380.84,58.55,38.27
cpu_heavy_spf,8,500,2796,99.5%,0.1788,1797.56,314.34,208.86
cpu_heavy_spf,8,1000,5382,99.3%,0.1858,3447.66,582.98,395.58
