Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
cpu_only_fcfs,1,10,523,100.0%,0.0191,301.80,249.50,249.50
cpu_only_fcfs,1,100,6761,100.0%,0.0148,3431.83,3364.22,3364.22
cpu_only_fcfs,1,500,30103,100.0%,0.0166,14802.61,14742.40,14742.40
cpu_only_fcfs,1,1000,61790,100.0%,0.0162,30952.70,30890.91,30890.91
cpu_only_fcfs,2,10,307,100.0%,0.0326,184.40,128.80,128.80
cpu_only_fcfs,2,100,3095,100.0%,0.0323,1595.17,1534.33,1534.33
cpu_only_fcfs,2,500,15633,100.0%,0.0320,7776.57,7714.06,7714.06
cpu_only_fcfs,2,1000,31018,100.0%,0.0322,15600.27,15538.26,15538.26
cpu_only_fcfs,4,10,211,100.0%,0.0474,116.00,45.20,45.20
cpu_only_fcfs,4,100,1485,100.0%,0.0673,733.68,676.43,676.43
cpu_only_fcfs,4,500,8110,100.0%,0.0617,4142.80,4078.04,4078.04
cpu_only_fcfs,4,1000,15474,100.0%,0.0646,7688.42,7626.77,7626.77
cpu_only_fcfs,8,10,115,100.0%,0.0870,68.60,2.00,2.00
cpu_only_fcfs,8,100,815,100.0%,0.1227,432.49,369.75,369.75
cpu_only_fcfs,8,500,4120,100.0%,0.1214,2047.73,1982.82,1982.82
cpu_only_fcfs,8,1000,7847,100.0%,0.1274,3986.95,3924.54,3924.54
cpu_only_fcfs,16,10,103,100.0%,0.0971,60.50,0.00,0.00
cpu_only_fcfs,16,100,458,100.0%,0.2183,226.33,161.58,161.58
cpu_only_fcfs,16,500,1995,100.0%,0.2506,993.44,931.89,931.89
cpu_only_fcfs,16,1000,4038,100.0%,0.2476,2005.82,1941.92,1941.92
cpu_only_fcfs,24,10,127,100.0%,0.0787,69.70,0.00,0.00
cpu_only_fcfs,24,100,326,100.0%,0.3067,157.51,93.83,93.83
cpu_only_fcfs,24,500,1337,100.0%,0.3740,652.18,590.95,590.95
cpu_only_fcfs,24,1000,2653,100.0%,0.3769,1331.92,1269.34,1269.34
cpu_only_fcfs,32,10,88,100.0%,0.1136,53.50,0.00,0.00
