Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
fcfs,1,10,289,97.20%,0.03,175.50,127.30,22.10
fcfs,1,100,2704,99.80%,0.04,1665.94,1621.85,275.40
fcfs,1,500,15277,100.00%,0.03,9992.78,9941.98,1299.14
fcfs,1,1000,30827,100.00%,0.03,20358.53,20306.99,2702.97
fcfs,1,5000,152699,100.00%,0.03,100321.57,100270.24,13710.70
fcfs,2,10,161,91.30%,0.06,82.40,31.40,10.20
fcfs,2,100,1821,96.30%,0.05,1303.79,896.52,140.81
fcfs,2,500,8225,94.70%,0.06,5246.85,3348.89,705.00
fcfs,2,1000,16279,95.40%,0.06,10530.08,7247.73,1359.20
fcfs,2,5000,83233,94.90%,0.06,54422.84,37311.45,7045.08
fcfs,4,10,154,87.70%,0.06,101.10,6.30,5.30
fcfs,4,100,1541,87.10%,0.06,1005.66,97.44,62.32
fcfs,4,500,8294,86.70%,0.06,5402.38,611.09,345.32
fcfs,4,1000,16683,86.40%,0.06,11005.11,1173.07,677.88
fcfs,4,5000,81194,86.70%,0.06,52531.47,5921.57,3473.87
fcfs,8,10,195,84.60%,0.05,134.00,0.80,0.80
fcfs,8,100,1695,86.40%,0.06,1158.61,38.00,31.78
fcfs,8,500,8244,86.00%,0.06,5377.00,211.77,169.36
fcfs,8,1000,16749,85.90%,0.06,11015.33,417.87,334.29
fcfs,8,5000,82736,86.00%,0.06,53857.90,2163.05,1703.64
fcfs,16,10,202,92.10%,0.05,147.80,0.00,0.00
fcfs,16,100,1682,85.30%,0.06,1088.63,16.74,14.72
fcfs,16,500,8407,86.30%,0.06,5581.31,92.46,82.51
fcfs,16,1000,16678,86.20%,0.06,10887.45,192.11,170.65
fcfs,16,5000,82459,85.30%,0.06,53698.05,936.55,844.85
fcfs,24,10,194,91.80%,0.05,140.30,0.00,0.00
fcfs,24,100,1927,87.30%,0.05,1335.28,8.92,8.33
fcfs,24,500,7800,83.80%,0.06,4836.36,60.30,56.47
fcfs,24,1000,16453,85.80%,0.06,10613.85,123.12,115.16
fcfs,24,5000,82478,85.50%,0.06,53691.83,613.72,571.48
fcfs,32,10,245,86.10%,0.04,190.40,0.00,0.00
fcfs,32,100,1427,87.00%,0.07,914.39,5.47,5.37
fcfs,32,500,7954,85.00%,0.06,4992.74,41.81,39.84
fcfs,32,1000,16649,84.70%,0.06,10661.69,89.74,85.22
fcfs,32,5000,82414,85.50%,0.06,53323.59,447.68,425.55
fcfs,48,10,205,83.40%,0.05,142.00,0.00,0.00
fcfs,48,100,1634,85.40%,0.06,1049.89,2.24,2.19
fcfs,48,500,7905,85.40%,0.06,5036.72,25.78,24.87
fcfs,48,1000,16397,85.60%,0.06,10622.01,55.29,53.67
fcfs,48,5000,82434,85.40%,0.06,53601.64,296.95,286.52
roundrobin,1,10,335,98.20%,0.03,262.70,202.70,12.30
roundrobin,1,100,3093,99.90%,0.03,2046.20,1988.55,132.07
roundrobin,1,500,15260,100.00%,0.03,10135.37,10078.40,674.51
roundrobin,1,1000,30704,100.00%,0.03,20413.40,20356.64,1334.84
roundrobin,1,5000,151728,100.00%,0.03,100533.43,100477.58,6738.80
roundrobin,2,10,219,90.90%,0.05,157.70,24.50,5.40
roundrobin,2,100,1768,92.60%,0.06,1183.99,744.15,65.87
roundrobin,2,500,8626,93.80%,0.06,5707.65,3403.14,332.33
roundrobin,2,1000,16969,93.80%,0.06,11076.00,6696.65,662.69
roundrobin,2,5000,85355,93.90%,0.06,55830.38,34140.41,3372.30
roundrobin,4,10,213,84.00%,0.05,155.10,4.60,2.20
roundrobin,4,100,1743,86.60%,0.06,1169.58,151.25,33.68
roundrobin,4,500,8094,86.80%,0.06,5213.73,753.72,166.50
roundrobin,4,1000,16371,86.60%,0.06,10580.36,1400.83,334.51
roundrobin,4,5000,82533,87.20%,0.06,53616.12,7647.55,1685.84
roundrobin,8,10,172,87.20%,0.06,102.60,0.60,0.40
roundrobin,8,100,1742,90.10%,0.06,1178.05,43.87,14.80
roundrobin,8,500,8410,86.30%,0.06,5531.50,292.48,83.63
roundrobin,8,1000,16684,85.50%,0.06,10749.91,524.81,165.62
roundrobin,8,5000,82399,86.00%,0.06,53499.20,2743.46,842.10
roundrobin,16,10,182,81.90%,0.05,117.90,0.00,0.00
roundrobin,16,100,1594,85.50%,0.06,1016.34,17.95,6.92
roundrobin,16,500,7967,85.70%,0.06,5140.81,120.31,40.97
roundrobin,16,1000,16673,84.90%,0.06,10929.54,240.23,81.79
roundrobin,16,5000,82678,85.20%,0.06,53548.74,1216.63,419.30
roundrobin,24,10,199,84.90%,0.05,159.90,0.00,0.00
roundrobin,24,100,1638,86.00%,0.06,1091.54,10.88,4.32
roundrobin,24,500,8284,87.00%,0.06,5530.43,72.86,26.41
roundrobin,24,1000,16486,85.10%,0.06,10696.34,151.01,55.10
roundrobin,24,5000,82894,85.30%,0.06,53909.69,786.74,279.23
roundrobin,32,10,196,84.70%,0.05,147.60,0.00,0.00
roundrobin,32,100,1602,85.00%,0.06,1017.53,6.83,2.91
roundrobin,32,500,8044,85.40%,0.06,5086.42,54.66,19.81
roundrobin,32,1000,16700,85.20%,0.06,10924.14,114.15,40.94
roundrobin,32,5000,81807,85.60%,0.06,52839.75,565.10,207.92
roundrobin,48,10,220,88.60%,0.05,156.60,0.00,0.00
roundrobin,48,100,1609,83.30%,0.06,972.84,3.29,1.44
roundrobin,48,500,8009,86.00%,0.06,5135.41,31.26,12.48
roundrobin,48,1000,16626,85.70%,0.06,10688.17,71.37,26.88
roundrobin,48,5000,82402,85.40%,0.06,53330.83,375.89,139.33
spf,1,10,296,99.70%,0.03,167.10,116.70,21.40
spf,1,100,3079,100.00%,0.03,1611.88,1533.97,509.19
spf,1,500,15508,100.00%,0.03,8401.87,8244.03,2662.15
spf,1,1000,31442,100.00%,0.03,17114.48,16850.17,5414.42
spf,1,5000,152133,100.00%,0.03,80865.46,79941.21,26384.90
spf,2,10,172,87.80%,0.06,94.60,33.30,17.80
spf,2,100,1635,96.50%,0.06,977.07,429.68,173.20
spf,2,500,8222,95.60%,0.06,5238.03,1981.11,919.63
spf,2,1000,16566,96.70%,0.06,10322.17,4629.44,2068.91
spf,2,5000,81636,95.80%,0.06,51109.16,21365.90,9513.49
spf,4,10,146,88.40%,0.07,85.00,3.30,2.00
spf,4,100,1579,88.00%,0.06,1011.79,68.48,55.62
spf,4,500,8019,87.70%,0.06,5201.52,393.49,305.75
spf,4,1000,16733,86.60%,0.06,10928.66,759.99,618.63
spf,4,5000,82830,87.00%,0.06,53630.45,3923.74,3079.57
spf,8,10,190,87.40%,0.05,130.40,0.50,0.50
spf,8,100,1605,86.00%,0.06,1036.94,26.52,24.36
spf,8,500,8045,85.50%,0.06,5125.74,135.31,123.06
spf,8,1000,16241,86.20%,0.06,10547.61,286.70,264.01
spf,8,5000,82001,86.10%,0.06,52858.82,1485.93,1354.91
spf,16,10,182,87.40%,0.05,126.60,0.00,0.00
spf,16,100,1554,86.30%,0.06,992.73,9.52,9.28
spf,16,500,8300,86.40%,0.06,5367.80,66.32,62.72
spf,16,1000,16868,85.80%,0.06,11212.25,124.50,119.27
spf,16,5000,82560,85.50%,0.06,53438.44,662.77,633.20
spf,24,10,191,88.50%,0.05,135.30,0.00,0.00
spf,24,100,1817,87.50%,0.06,1247.05,5.49,5.47
spf,24,500,8097,85.40%,0.06,5246.06,37.27,36.06
spf,24,1000,16225,85.80%,0.06,10449.49,83.75,81.69
spf,24,5000,82464,85.70%,0.06,53451.20,421.32,410.71
spf,32,10,178,88.80%,0.06,102.40,0.00,0.00
spf,32,100,1531,84.70%,0.07,902.08,3.64,3.60
spf,32,500,8421,86.10%,0.06,5593.08,27.91,27.56
spf,32,1000,16577,85.70%,0.06,10896.49,61.47,60.28
spf,32,5000,84221,85.60%,0.06,55362.54,316.68,309.98
spf,48,10,163,84.00%,0.06,102.70,0.00,0.00
spf,48,100,1639,86.00%,0.06,1107.32,1.53,1.53
spf,48,500,8600,85.20%,0.06,5648.77,17.86,17.53
spf,48,1000,16560,85.60%,0.06,10841.69,38.35,37.74
spf,48,5000,81728,85.50%,0.06,52870.44,202.66,199.74
srtf,1,10,254,98.40%,0.04,129.20,89.90,17.00
srtf,1,100,3261,99.00%,0.03,1732.80,1662.70,479.45
srtf,1,500,15438,99.90%,0.03,8329.18,8153.55,2588.53
srtf,1,1000,30280,100.00%,0.03,16195.97,15962.18,5127.30
srtf,1,5000,152835,100.00%,0.03,81222.21,80229.90,26577.95
srtf,2,10,187,96.30%,0.05,121.90,47.30,23.80
srtf,2,100,1453,99.40%,0.07,807.72,467.80,186.19
srtf,2,500,8295,96.00%,0.06,5084.76,2140.96,1002.83
srtf,2,1000,16848,96.40%,0.06,10619.58,4439.91,1888.93
srtf,2,5000,82599,95.80%,0.06,51148.22,21349.35,9414.51
srtf,4,10,226,88.90%,0.04,170.30,2.60,2.20
srtf,4,100,1876,84.30%,0.05,1315.97,56.10,47.00
srtf,4,500,8283,87.50%,0.06,5444.94,408.48,309.36
srtf,4,1000,16288,86.60%,0.06,10512.49,763.41,617.59
srtf,4,5000,82431,87.00%,0.06,53335.97,3973.12,3172.64
srtf,8,10,236,88.10%,0.04,187.80,0.50,0.50
srtf,8,100,1659,84.30%,0.06,1063.87,24.76,23.88
srtf,8,500,8298,84.90%,0.06,5346.75,142.45,127.31
srtf,8,1000,16717,84.90%,0.06,10788.48,296.29,271.97
srtf,8,5000,81503,85.80%,0.06,52438.97,1469.45,1339.39
srtf,16,10,179,85.50%,0.06,103.00,0.00,0.00
srtf,16,100,1675,85.30%,0.06,1097.26,11.01,10.99
srtf,16,500,8135,84.50%,0.06,5189.38,64.96,62.09
srtf,16,1000,16237,85.80%,0.06,10495.20,124.65,120.34
srtf,16,5000,82742,85.60%,0.06,53784.73,657.62,629.61
srtf,24,10,176,90.90%,0.06,116.80,0.00,0.00
srtf,24,100,1672,82.50%,0.06,1080.86,5.40,5.40
srtf,24,500,8023,84.80%,0.06,5171.62,42.14,40.75
srtf,24,1000,16546,85.40%,0.06,10760.47,79.64,76.97
srtf,24,5000,81153,85.40%,0.06,52198.42,421.77,410.52
srtf,32,10,188,94.10%,0.05,123.50,0.00,0.00
srtf,32,100,1675,86.50%,0.06,1092.00,3.83,3.73
srtf,32,500,8246,84.60%,0.06,5365.01,30.68,30.33
srtf,32,1000,16639,85.70%,0.06,10799.93,60.85,59.89
srtf,32,5000,83022,85.30%,0.06,53824.05,310.87,304.85
srtf,48,10,197,85.30%,0.05,130.10,0.00,0.00
srtf,48,100,1774,86.70%,0.06,1184.77,1.92,1.92
srtf,48,500,8347,85.00%,0.06,5324.47,18.85,18.54
srtf,48,1000,16805,85.10%,0.06,10978.46,38.23,37.79
srtf,48,5000,82433,85.40%,0.06,53494.23,205.16,202.31
