Time,New Queue,Ready Queue,CPU Core 0,Blocked Queue,IO,Exit Queue
0,B C D ,,A,,,
1,B C D ,,A,,,
2,C D ,B ,A,,,
3,D ,C B ,A,,,
4,D ,B C ,,,A,
5,D ,C ,B,,A,
6,D ,C ,B,,A,
7,,D C ,B,,A,
8,,A C D ,B,,,
9,,D C A ,B,,,
10,,A C D ,B,,,
11,,D C A ,B,,,
12,,A C D ,B,,,
13,,D C A ,,,B,
14,,B A C ,D,,,
15,,C A B ,,,D,
16,,D B A ,C,,,
17,,A B D ,C,,,
18,,D B A ,,,C,
19,,C A B ,D,,,
20,,B A C ,,,D,
21,,D C A ,B,,,
22,,A C D ,B,,,
23,,D C A ,B,,,
24,,A C D ,B,,,
25,,D C A ,B,,,
26,,A C D ,B,,,
27,,D C A ,B,,,
28,,A C D ,B,,,
29,,D C A ,,,,B 
30,,A C ,D,,,B 
31,,C A ,,,,B D 
32,,A ,C,,,B D 
33,,A ,C,,,B D 
34,,A ,,,,B D C 
35,,,A,,,B D C 
36,,,A,,,B D C 
37,,,A,,,B D C 
38,,,A,,,B D C 
39,,,,,A,B D C 
40,,,,,A,B D C 
41,,,,,A,B D C 
42,,,,,A,B D C 
43,,,A,,,B D C 
44,,,A,,,B D C 
45,,,A,,,B D C 
46,,,A,,,B D C 
